# Generated by generate_float8_fixtures.py; do not edit by hand.
# schema=v1; f8_bits_hex,f16_bits_hex,sign,classification,finite_value_f32_bits_hex,finite_value_hex
f8_bits_hex,f16_bits_hex,sign,classification,finite_value_f32_bits_hex,finite_value_hex
0x5b,0x5b00,positive,normal,0x43600000,0x1.c000000000000p+7
0x5c,0x5c00,positive,normal,0x43800000,0x1.0000000000000p+8
0x5d,0x5d00,positive,normal,0x43a00000,0x1.4000000000000p+8
0x5e,0x5e00,positive,normal,0x43c00000,0x1.8000000000000p+8
0x5f,0x5f00,positive,normal,0x43e00000,0x1.c000000000000p+8
0x60,0x6000,positive,normal,0x44000000,0x1.0000000000000p+9
0x61,0x6100,positive,normal,0x44200000,0x1.4000000000000p+9
0x62,0x6200,positive,normal,0x44400000,0x1.8000000000000p+9
0x63,0x6300,positive,normal,0x44600000,0x1.c000000000000p+9
0x64,0x6400,positive,normal,0x44800000,0x1.0000000000000p+10
0x65,0x6500,positive,normal,0x44a00000,0x1.4000000000000p+10
0x66,0x6600,positive,normal,0x44c00000,0x1.8000000000000p+10
0x67,0x6700,positive,normal,0x44e00000,0x1.c000000000000p+10
0x68,0x6800,positive,normal,0x45000000,0x1.0000000000000p+11
0x69,0x6900,positive,normal,0x45200000,0x1.4000000000000p+11
0x6a,0x6a00,positive,normal,0x45400000,0x1.8000000000000p+11
0x6b,0x6b00,positive,normal,0x45600000,0x1.c000000000000p+11
0x6c,0x6c00,positive,normal,0x45800000,0x1.0000000000000p+12
0x6d,0x6d00,positive,normal,0x45a00000,0x1.4000000000000p+12
0x6e,0x6e00,positive,normal,0x45c00000,0x1.8000000000000p+12
0x6f,0x6f00,positive,normal,0x45e00000,0x1.c000000000000p+12
0x70,0x7000,positive,normal,0x46000000,0x1.0000000000000p+13
0x71,0x7100,positive,normal,0x46200000,0x1.4000000000000p+13
0x72,0x7200,positive,normal,0x46400000,0x1.8000000000000p+13
0x73,0x7300,positive,normal,0x46600000,0x1.c000000000000p+13
0x74,0x7400,positive,normal,0x46800000,0x1.0000000000000p+14
0x75,0x7500,positive,normal,0x46a00000,0x1.4000000000000p+14
0x76,0x7600,positive,normal,0x46c00000,0x1.8000000000000p+14
0x77,0x7700,positive,normal,0x46e00000,0x1.c000000000000p+14
0x78,0x7800,positive,normal,0x47000000,0x1.0000000000000p+15
0x79,0x7900,positive,normal,0x47200000,0x1.4000000000000p+15
0x7a,0x7a00,positive,normal,0x47400000,0x1.8000000000000p+15
0x7b,0x7b00,positive,normal,0x47600000,0x1.c000000000000p+15
0x7c,0x7c00,positive,inf,-,-
0x7d,0x7d00,positive,nan,-,-
0x7e,0x7e00,positive,nan,-,-
0x7f,0x7f00,positive,nan,-,-
0x80,0x8000,negative,zero,0x80000000,-0x0.0p+0
0x81,0x8100,negative,subnormal,0xb7800000,-0x1.0000000000000p-16
0x82,0x8200,negative,subnormal,0xb8000000,-0x1.0000000000000p-15
0x83,0x8300,negative,subnormal,0xb8400000,-0x1.8000000000000p-15
0x84,0x8400,negative,normal,0xb8800000,-0x1.0000000000000p-14
0x85,0x8500,negative,normal,0xb8a00000,-0x1.4000000000000p-14
0x86,0x8600,negative,normal,0xb8c00000,-0x1.8000000000000p-14
0x87,0x8700,negative,normal,0xb8e00000,-0x1.c000000000000p-14
0x88,0x8800,negative,normal,0xb9000000,-0x1.0000000000000p-13
0x89,0x8900,negative,normal,0xb9200000,-0x1.4000000000000p-13
0x8a,0x8a00,negative,normal,0xb9400000,-0x1.8000000000000p-13
0x8b,0x8b00,negative,normal,0xb9600000,-0x1.c000000000000p-13
0x8c,0x8c00,negative,normal,0xb9800000,-0x1.0000000000000p-12
0x8d,0x8d00,negative,normal,0xb9a00000,-0x1.4000000000000p-12
0x8e,0x8e00,negative,normal,0xb9c00000,-0x1.8000000000000p-12
0x8f,0x8f00,negative,normal,0xb9e00000,-0x1.c000000000000p-12
0x90,0x9000,negative,normal,0xba000000,-0x1.0000000000000p-11
0x91,0x9100,negative,normal,0xba200000,-0x1.4000000000000p-11
0x92,0x9200,negative,normal,0xba400000,-0x1.8000000000000p-11
0x93,0x9300,negative,normal,0xba600000,-0x1.c000000000000p-11
0x94,0x9400,negative,normal,0xba800000,-0x1.0000000000000p-10
0x95,0x9500,negative,normal,0xbaa00000,-0x1.4000000000000p-10
0x96,0x9600,negative,normal,0xbac00000,-0x1.8000000000000p-10
0x97,0x9700,negative,normal,0xbae00000,-0x1.c000000000000p-10
0x98,0x9800,negative,normal,0xbb000000,-0x1.0000000000000p-9
0x99,0x9900,negative,normal,0xbb200000,-0x1.4000000000000p-9
0x9a,0x9a00,negative,normal,0xbb400000,-0x1.8000000000000p-9
0x9b,0x9b00,negative,normal,0xbb600000,-0x1.c000000000000p-9
0x9c,0x9c00,negative,normal,0xbb800000,-0x1.0000000000000p-8
0x9d,0x9d00,negative,normal,0xbba00000,-0x1.4000000000000p-8
0x9e,0x9e00,negative,normal,0xbbc00000,-0x1.8000000000000p-8
0x9f,0x9f00,negative,normal,0xbbe00000,-0x1.c000000000000p-8
0xa0,0xa000,negative,normal,0xbc000000,-0x1.0000000000000p-7
0xa1,0xa100,negative,normal,0xbc200000,-0x1.4000000000000p-7
0xa2,0xa200,negative,normal,0xbc400000,-0x1.8000000000000p-7
0xa3,0xa300,negative,normal,0xbc600000,-0x1.c000000000000p-7
0xa4,0xa400,negative,normal,0xbc800000,-0x1.0000000000000p-6
0xa5,0xa500,negative,normal,0xbca00000,-0x1.4000000000000p-6
0xa6,0xa600,negative,normal,0xbcc00000,-0x1.8000000000000p-6
0xa7,0xa700,negative,normal,0xbce00000,-0x1.c000000000000p-6
0xa8,0xa800,negative,normal,0xbd000000,-0x1.0000000000000p-5
0xa9,0xa900,negative,normal,0xbd200000,-0x1.4000000000000p-5
0xaa,0xaa00,negative,normal,0xbd400000,-0x1.8000000000000p-5
0xab,0xab00,negative,normal,0xbd600000,-0x1.c000000000000p-5
0xac,0xac00,negative,normal,0xbd800000,-0x1.0000000000000p-4
0xad,0xad00,negative,normal,0xbda00000,-0x1.4000000000000p-4
0xae,0xae00,negative,normal,0xbdc00000,-0x1.8000000000000p-4
0xaf,0xaf00,negative,normal,0xbde00000,-0x1.c000000000000p-4
0xb0,0xb000,negative,normal,0xbe000000,-0x1.0000000000000p-3
0xb1,0xb100,negative,normal,0xbe200000,-0x1.4000000000000p-3
0xb2,0xb200,negative,normal,0xbe400000,-0x1.8000000000000p-3
0xb3,0xb300,negative,normal,0xbe600000,-0x1.c000000000000p-3
0xb4,0xb400,negative,normal,0xbe800000,-0x1.0000000000000p-2
0xb5,0xb500,negative,normal,0xbea00000,-0x1.4000000000000p-2
0xb6,0xb600,negative,normal,0xbec00000,-0x1.8000000000000p-2
0xb7,0xb700,negative,normal,0xbee00000,-0x1.c000000000000p-2
0xb8,0xb800,negative,normal,0xbf000000,-0x1.0000000000000p-1
0xb9,0xb900,negative,normal,0xbf200000,-0x1.4000000000000p-1
0xba,0xba00,negative,normal,0xbf400000,-0x1.8000000000000p-1
0xbb,0xbb00,negative,normal,0xbf600000,-0x1.c000000000000p-1
0xbc,0xbc00,negative,normal,0xbf800000,-0x1.0000000000000p+0
0xbd,0xbd00,negative,normal,0xbfa00000,-0x1.4000000000000p+0
0xbe,0xbe00,negative,normal,0xbfc00000,-0x1.8000000000000p+0
0xbf,0xbf00,negative,normal,0xbfe00000,-0x1.c000000000000p+0
0xc0,0xc000,negative,normal,0xc0000000,-0x1.0000000000000p+1
0xc1,0xc100,negative,normal,0xc0200000,-0x1.4000000000000p+1
0xc2,0xc200,negative,normal,0xc0400000,-0x1.8000000000000p+1
0xc3,0xc300,negative,normal,0xc0600000,-0x1.c000000000000p+1
0xc4,0xc400,negative,normal,0xc0800000,-0x1.0000000000000p+2
0xc5,0xc500,negative,normal,0xc0a00000,-0x1.4000000000000p+2
0xc6,0xc600,negative,normal,0xc0c00000,-0x1.8000000000000p+2
0xc7,0xc700,negative,normal,0xc0e00000,-0x1.c000000000000p+2
0xc8,0xc800,negative,normal,0xc1000000,-0x1.0000000000000p+3
0xc9,0xc900,negative,normal,0xc1200000,-0x1.4000000000000p+3
0xca,0xca00,negative,normal,0xc1400000,-0x1.8000000000000p+3
0xcb,0xcb00,negative,normal,0xc1600000,-0x1.c000000000000p+3
0xcc,0xcc00,negative,normal,0xc1800000,-0x1.0000000000000p+4
0xcd,0xcd00,negative,normal,0xc1a00000,-0x1.4000000000000p+4
0xce,0xce00,negative,normal,0xc1c00000,-0x1.8000000000000p+4
0xcf,0xcf00,negative,normal,0xc1e00000,-0x1.c000000000000p+4
0xd0,0xd000,negative,normal,0xc2000000,-0x1.0000000000000p+5
0xd1,0xd100,negative,normal,0xc2200000,-0x1.4000000000000p+5
0xd2,0xd200,negative,normal,0xc2400000,-0x1.8000000000000p+5
0xd3,0xd300,negative,normal,0xc2600000,-0x1.c000000000000p+5
0xd4,0xd400,negative,normal,0xc2800000,-0x1.0000000000000p+6
0xd5,0xd500,negative,normal,0xc2a00000,-0x1.4000000000000p+6
0xd6,0xd600,negative,normal,0xc2c00000,-0x1.8000000000000p+6
0xd7,0xd700,negative,normal,0xc2e00000,-0x1.c000000000000p+6
0xd8,0xd800,negative,normal,0xc3000000,-0x1.0000000000000p+7
0xd9,0xd900,negative,normal,0xc3200000,-0x1.4000000000000p+7
0xda,0xda00,negative,normal,0xc3400000,-0x1.8000000000000p+7
0xdb,0xdb00,negative,normal,0xc3600000,-0x1.c000000000000p+7
0xdc,0xdc00,negative,normal,0xc3800000,-0x1.0000000000000p+8
0xdd,0xdd00,negative,normal,0xc3a00000,-0x1.4000000000000p+8
0xde,0xde00,negative,normal,0xc3c00000,-0x1.8000000000000p+8
0xdf,0xdf00,negative,normal,0xc3e00000,-0x1.c000000000000p+8
0xe0,0xe000,negative,normal,0xc4000000,-0x1.0000000000000p+9
0xe1,0xe100,negative,normal,0xc4200000,-0x1.4000000000000p+9
0xe2,0xe200,negative,normal,0xc4400000,-0x1.8000000000000p+9
0xe3,0xe300,negative,normal,0xc4600000,-0x1.c000000000000p+9
0xe4,0xe400,negative,normal,0xc4800000,-0x1.0000000000000p+10
0xe5,0xe500,negative,normal,0xc4a00000,-0x1.4000000000000p+10
0xe6,0xe600,negative,normal,0xc4c00000,-0x1.8000000000000p+10
0xe7,0xe700,negative,normal,0xc4e00000,-0x1.c000000000000p+10
0xe8,0xe800,negative,normal,0xc5000000,-0x1.0000000000000p+11
0xe9,0xe900,negative,normal,0xc5200000,-0x1.4000000000000p+11
0xea,0xea00,negative,normal,0xc5400000,-0x1.8000000000000p+11
0xeb,0xeb00,negative,normal,0xc5600000,-0x1.c000000000000p+11
0xec,0xec00,negative,normal,0xc5800000,-0x1.0000000000000p+12
0xed,0xed00,negative,normal,0xc5a00000,-0x1.4000000000000p+12
0xee,0xee00,negative,normal,0xc5c00000,-0x1.8000000000000p+12
0xef,0xef00,negative,normal,0xc5e00000,-0x1.c000000000000p+12
0xf0,0xf000,negative,normal,0xc6000000,-0x1.0000000000000p+13
0xf1,0xf100,negative,normal,0xc6200000,-0x1.4000000000000p+13
0xf2,0xf200,negative,normal,0xc6400000,-0x1.8000000000000p+13
0xf3,0xf300,negative,normal,0xc6600000,-0x1.c000000000000p+13
0xf4,0xf400,negative,normal,0xc6800000,-0x1.0000000000000p+14
0xf5,0xf500,negative,normal,0xc6a00000,-0x1.4000000000000p+14
0xf6,0xf600,negative,normal,0xc6c00000,-0x1.8000000000000p+14
0xf7,0xf700,negative,normal,0xc6e00000,-0x1.c000000000000p+14
0xf8,0xf800,negative,normal,0xc7000000,-0x1.0000000000000p+15
0xf9,0xf900,negative,normal,0xc7200000,-0x1.4000000000000p+15
0xfa,0xfa00,negative,normal,0xc7400000,-0x1.8000000000000p+15
0xfb,0xfb00,negative,normal,0xc7600000,-0x1.c000000000000p+15
0xfc,0xfc00,negative,inf,-,-
0xfd,0xfd00,negative,nan,-,-
0xfe,0xfe00,negative,nan,-,-
0xff,0xff00,negative,nan,-,-
