# Generated by generate_float8_fixtures.py; do not edit by hand.
# schema=v1; f32_bits_hex,f16_bits_hex,f8_bits_hex,checked,tags
f32_bits_hex,f16_bits_hex,f8_bits_hex,checked,tags
0x3ed01000,0x3680,0x36,accept,f32_f16_double_round_boundary|stage2_tie
0x3ed01001,0x3681,0x37,accept,f32_f16_double_round_boundary|stage2_tie
0x3eefefff,0x377f,0x37,accept,f32_f16_double_round_boundary|stage2_tie
0x3eeff000,0x3780,0x38,accept,f32_f16_double_round_boundary|stage2_tie
0x3eeff001,0x3780,0x38,accept,f32_f16_double_round_boundary|stage2_tie
0x3ef00000,0x3780,0x38,accept,binade_carry|stage2_tie
0x3f100000,0x3880,0x38,accept,stage2_tie
0x3f100fff,0x3880,0x38,accept,f32_f16_double_round_boundary|stage2_tie
0x3f101000,0x3880,0x38,accept,f32_f16_double_round_boundary|stage2_tie
0x3f101001,0x3881,0x39,accept,f32_f16_double_round_boundary|stage2_tie
0x3f2fefff,0x397f,0x39,accept,f32_f16_double_round_boundary|stage2_tie
0x3f2ff000,0x3980,0x3a,accept,f32_f16_double_round_boundary|stage2_tie
0x3f2ff001,0x3980,0x3a,accept,f32_f16_double_round_boundary|stage2_tie
0x3f300000,0x3980,0x3a,accept,stage2_tie
0x3f500000,0x3a80,0x3a,accept,stage2_tie
0x3f500fff,0x3a80,0x3a,accept,f32_f16_double_round_boundary|stage2_tie
0x3f501000,0x3a80,0x3a,accept,f32_f16_double_round_boundary|stage2_tie
0x3f501001,0x3a81,0x3b,accept,f32_f16_double_round_boundary|stage2_tie
0x3f6fefff,0x3b7f,0x3b,accept,f32_f16_double_round_boundary|stage2_tie
0x3f6ff000,0x3b80,0x3c,accept,f32_f16_double_round_boundary|stage2_tie
0x3f6ff001,0x3b80,0x3c,accept,f32_f16_double_round_boundary|stage2_tie
0x3f700000,0x3b80,0x3c,accept,binade_carry|stage2_tie
0x3f900000,0x3c80,0x3c,accept,stage2_tie
0x3f900fff,0x3c80,0x3c,accept,f32_f16_double_round_boundary|stage2_tie
0x3f901000,0x3c80,0x3c,accept,f32_f16_double_round_boundary|stage2_tie
0x3f901001,0x3c81,0x3d,accept,f32_f16_double_round_boundary|stage2_tie
0x3fafefff,0x3d7f,0x3d,accept,f32_f16_double_round_boundary|stage2_tie
0x3faff000,0x3d80,0x3e,accept,f32_f16_double_round_boundary|stage2_tie
0x3faff001,0x3d80,0x3e,accept,f32_f16_double_round_boundary|stage2_tie
0x3fb00000,0x3d80,0x3e,accept,stage2_tie
0x3fd00000,0x3e80,0x3e,accept,stage2_tie
0x3fd00fff,0x3e80,0x3e,accept,f32_f16_double_round_boundary|stage2_tie
0x3fd01000,0x3e80,0x3e,accept,f32_f16_double_round_boundary|stage2_tie
0x3fd01001,0x3e81,0x3f,accept,f32_f16_double_round_boundary|stage2_tie
0x3fefefff,0x3f7f,0x3f,accept,f32_f16_double_round_boundary|stage2_tie
0x3feff000,0x3f80,0x40,accept,f32_f16_double_round_boundary|stage2_tie
0x3feff001,0x3f80,0x40,accept,f32_f16_double_round_boundary|stage2_tie
0x3ff00000,0x3f80,0x40,accept,binade_carry|stage2_tie
0x40100000,0x4080,0x40,accept,stage2_tie
0x40100fff,0x4080,0x40,accept,f32_f16_double_round_boundary|stage2_tie
0x40101000,0x4080,0x40,accept,f32_f16_double_round_boundary|stage2_tie
0x40101001,0x4081,0x41,accept,f32_f16_double_round_boundary|stage2_tie
0x402fefff,0x417f,0x41,accept,f32_f16_double_round_boundary|stage2_tie
0x402ff000,0x4180,0x42,accept,f32_f16_double_round_boundary|stage2_tie
0x402ff001,0x4180,0x42,accept,f32_f16_double_round_boundary|stage2_tie
0x40300000,0x4180,0x42,accept,stage2_tie
0x40500000,0x4280,0x42,accept,stage2_tie
0x40500fff,0x4280,0x42,accept,f32_f16_double_round_boundary|stage2_tie
0x40501000,0x4280,0x42,accept,f32_f16_double_round_boundary|stage2_tie
0x40501001,0x4281,0x43,accept,f32_f16_double_round_boundary|stage2_tie
0x406fefff,0x437f,0x43,accept,f32_f16_double_round_boundary|stage2_tie
0x406ff000,0x4380,0x44,accept,f32_f16_double_round_boundary|stage2_tie
0x406ff001,0x4380,0x44,accept,f32_f16_double_round_boundary|stage2_tie
0x40700000,0x4380,0x44,accept,binade_carry|stage2_tie
0x40900000,0x4480,0x44,accept,stage2_tie
0x40900fff,0x4480,0x44,accept,f32_f16_double_round_boundary|stage2_tie
0x40901000,0x4480,0x44,accept,f32_f16_double_round_boundary|stage2_tie
0x40901001,0x4481,0x45,accept,f32_f16_double_round_boundary|stage2_tie
0x40afefff,0x457f,0x45,accept,f32_f16_double_round_boundary|stage2_tie
0x40aff000,0x4580,0x46,accept,f32_f16_double_round_boundary|stage2_tie
0x40aff001,0x4580,0x46,accept,f32_f16_double_round_boundary|stage2_tie
0x40b00000,0x4580,0x46,accept,stage2_tie
0x40d00000,0x4680,0x46,accept,stage2_tie
0x40d00fff,0x4680,0x46,accept,f32_f16_double_round_boundary|stage2_tie
0x40d01000,0x4680,0x46,accept,f32_f16_double_round_boundary|stage2_tie
0x40d01001,0x4681,0x47,accept,f32_f16_double_round_boundary|stage2_tie
0x40efefff,0x477f,0x47,accept,f32_f16_double_round_boundary|stage2_tie
0x40eff000,0x4780,0x48,accept,f32_f16_double_round_boundary|stage2_tie
0x40eff001,0x4780,0x48,accept,f32_f16_double_round_boundary|stage2_tie
0x40f00000,0x4780,0x48,accept,binade_carry|stage2_tie
0x41100000,0x4880,0x48,accept,stage2_tie
0x41100fff,0x4880,0x48,accept,f32_f16_double_round_boundary|stage2_tie
0x41101000,0x4880,0x48,accept,f32_f16_double_round_boundary|stage2_tie
0x41101001,0x4881,0x49,accept,f32_f16_double_round_boundary|stage2_tie
0x412fefff,0x497f,0x49,accept,f32_f16_double_round_boundary|stage2_tie
0x412ff000,0x4980,0x4a,accept,f32_f16_double_round_boundary|stage2_tie
0x412ff001,0x4980,0x4a,accept,f32_f16_double_round_boundary|stage2_tie
0x41300000,0x4980,0x4a,accept,stage2_tie
0x41500000,0x4a80,0x4a,accept,stage2_tie
0x41500fff,0x4a80,0x4a,accept,f32_f16_double_round_boundary|stage2_tie
0x41501000,0x4a80,0x4a,accept,f32_f16_double_round_boundary|stage2_tie
0x41501001,0x4a81,0x4b,accept,f32_f16_double_round_boundary|stage2_tie
0x416fefff,0x4b7f,0x4b,accept,f32_f16_double_round_boundary|stage2_tie
0x416ff000,0x4b80,0x4c,accept,f32_f16_double_round_boundary|stage2_tie
0x416ff001,0x4b80,0x4c,accept,f32_f16_double_round_boundary|stage2_tie
0x41700000,0x4b80,0x4c,accept,binade_carry|stage2_tie
0x41900000,0x4c80,0x4c,accept,stage2_tie
0x41900fff,0x4c80,0x4c,accept,f32_f16_double_round_boundary|stage2_tie
0x41901000,0x4c80,0x4c,accept,f32_f16_double_round_boundary|stage2_tie
0x41901001,0x4c81,0x4d,accept,f32_f16_double_round_boundary|stage2_tie
0x41afefff,0x4d7f,0x4d,accept,f32_f16_double_round_boundary|stage2_tie
0x41aff000,0x4d80,0x4e,accept,f32_f16_double_round_boundary|stage2_tie
0x41aff001,0x4d80,0x4e,accept,f32_f16_double_round_boundary|stage2_tie
0x41b00000,0x4d80,0x4e,accept,stage2_tie
0x41d00000,0x4e80,0x4e,accept,stage2_tie
0x41d00fff,0x4e80,0x4e,accept,f32_f16_double_round_boundary|stage2_tie
0x41d01000,0x4e80,0x4e,accept,f32_f16_double_round_boundary|stage2_tie
0x41d01001,0x4e81,0x4f,accept,f32_f16_double_round_boundary|stage2_tie
0x41efefff,0x4f7f,0x4f,accept,f32_f16_double_round_boundary|stage2_tie
0x41eff000,0x4f80,0x50,accept,f32_f16_double_round_boundary|stage2_tie
0x41eff001,0x4f80,0x50,accept,f32_f16_double_round_boundary|stage2_tie
0x41f00000,0x4f80,0x50,accept,binade_carry|stage2_tie
0x42100000,0x5080,0x50,accept,stage2_tie
0x42100fff,0x5080,0x50,accept,f32_f16_double_round_boundary|stage2_tie
0x42101000,0x5080,0x50,accept,f32_f16_double_round_boundary|stage2_tie
0x42101001,0x5081,0x51,accept,f32_f16_double_round_boundary|stage2_tie
0x422fefff,0x517f,0x51,accept,f32_f16_double_round_boundary|stage2_tie
0x422ff000,0x5180,0x52,accept,f32_f16_double_round_boundary|stage2_tie
0x422ff001,0x5180,0x52,accept,f32_f16_double_round_boundary|stage2_tie
0x42300000,0x5180,0x52,accept,stage2_tie
0x42500000,0x5280,0x52,accept,stage2_tie
0x42500fff,0x5280,0x52,accept,f32_f16_double_round_boundary|stage2_tie
0x42501000,0x5280,0x52,accept,f32_f16_double_round_boundary|stage2_tie
0x42501001,0x5281,0x53,accept,f32_f16_double_round_boundary|stage2_tie
0x426fefff,0x537f,0x53,accept,f32_f16_double_round_boundary|stage2_tie
0x426ff000,0x5380,0x54,accept,f32_f16_double_round_boundary|stage2_tie
0x426ff001,0x5380,0x54,accept,f32_f16_double_round_boundary|stage2_tie
0x42700000,0x5380,0x54,accept,binade_carry|stage2_tie
0x42900000,0x5480,0x54,accept,stage2_tie
0x42900fff,0x5480,0x54,accept,f32_f16_double_round_boundary|stage2_tie
0x42901000,0x5480,0x54,accept,f32_f16_double_round_boundary|stage2_tie
0x42901001,0x5481,0x55,accept,f32_f16_double_round_boundary|stage2_tie
0x42afefff,0x557f,0x55,accept,f32_f16_double_round_boundary|stage2_tie
0x42aff000,0x5580,0x56,accept,f32_f16_double_round_boundary|stage2_tie
